"Analytics";"Analytics"
"My application in figures";"Mon application en quelques chiffres"
"Installed application";"Application installée"
"times";"fois"
"Global visits";"Visites totales"
"Your customers in figures";"Vos clients en quelques chiffres"
"Used points";"Points consommés"
"Average by customer";"Moyenne par client"
"Percentage of returning customers";"Pourcentage de clients fidélisés"
"Your best customers";"Vos meilleurs clients"
"Update your";"Modifiez votre"
"Choose your colors";"Choisissez vos couleurs"
"Choose your template";"Choisissez votre thème"
"Change your template";"Modifiez votre thème"
"Choose your homepage image";"Choisissez l'image de la page d'accueil"
"Choose your layout";"Choisissez votre mise en page"
"Choose your font style";"Choisissez votre police"
"Choose a font family";"Choisissez une police"
"Choose your font size";"Choisissez une taille pour la police"
"Your pages";"Vos pages"
"Add pages";"Ajoutez des pages"
"Delete this page?";"Etes-vous sûr de vouloir supprimer cette page ?"
"An error occurred while loading";"Une erreur est survenue lors du chargement."
"You must have published your application to access this feature";"Vous devez avoir publié votre application pour accéder à cette fonctionnalité"
"Homepage preview";"Aperçu de la page d'accueil"
"Editor";"Editeur"
"Promote";"Promouvoir"
"Extras";"Extras"
"Design";"Design"
"Features";"Fonctions"
"Publication";"Publication"
"Style";"Style"
"Colors";"Couleurs"
"Information";"Informations"
"Ready? Publish my app!";"Ready ? Publier mon app !"
"My domain";"Mon domaine"
"You will be able here to preview your application on your mobile. We just need you to choose a subdomain for your HTML5 application. Your Iphone and Android applications and your mobile website will share the same design.";"Ici, vous serez capable de tester l'application sur votre téléphone. Mais avant, nous avons besoin que vous choisissiez un sous-domaine pour votre application HTML5. Vos applications iPhone et Android auront le même aspect que votre site mobile."
"Choose your subdomain name";"Choisissez votre sous-domaine"
"My QRCode";"Mon QRCode"
"You may preview your mobile website on your mobile phone. Your Iphone and Android native apps and your mobile website will share the same design.";"Vous pouvez prévisualiser votre site mobile sur votre téléphone. L'aspect de vos applications natives iPhone et Android seront les mêmes que votre site mobile."
"Scan this code to preview your app on your mobile phone";"Scannez ce code pour voir votre application sur téléphone"
"Change your";"Modifiez votre"
"Choose an";"Choisissez une"
"Choose a <br /><span class=""bold"">picture</span>";"Choisissez une <br /><span class=""bold"">image</span>"
"Error while generating";"Erreur lors de la génération."
"to retry";"pour réessayer"
"Select";"Sélectionner"
"Unselect";"Déselectionner"
"screenshot selected";"capture sélectionnée"
"screenshots selected";"captures sélectionnées"
"5 maximum screenshots allowed, please unselect one to continue";"5 captures maximum autorisées, merci d'en déselectionner une pour continuer"
"Library";"Bibliothèque"
"Reset position";"Réinitialiser la position"
"Pictures library";"Images de la bibliothèque"
"My pictures";"Mes images"
"Dashboard icon";"Icône d'accueil"
"Startup image";"Image de démarrage"
"Please select at least one screenshot";"Merci de sélectionner au moins une capture d'écran"
"Generating screenshots";"Création des captures en cours"
"Saving";"Enregistrement"
"General information";"Informations générales"
"Business name";"Nom de l'enseigne"
"This field may not begin with a number";"Ce champ ne peut pas commencer par un chiffre"
"You may not modify this field once the application has been published";"Vous ne pouvez pas changer ce champ une fois l'application publiée"
"Description";"Description"
"Keywords";"Mots-clés"
"Main category";"Catégorie principale"
"Secondary category";"Catégorie secondaire"
"category";"Catégorie"
"(Optional)";"(Optionnelle)"
"Apple information";"Informations Apple"
"I have an Apple developer account";"J'ai un compte développeur Apple"
"I don't have an Apple developer account and I wish to create one";"Je n'ai pas de compte développeur Apple et je souhaite en créer un"
"You have to create an Apple developer account to publish your iPhone application. <a href=""https://developer.apple.com/programs/start/standard/create.php"" target=""_blank"">Click here to create one.</a>";"Vous devez créer un compte Apple avant de pouvoir publier votre application iPhone. <a href=""https://developer.apple.com/programs/start/standard/create.php"" target=""_blank"">Cliquez ici pour en créer un</a>"
"Google information";"Informations Google"
"I have a Google developer account";"J'ai un compte développeur Google"
"I don't have a Google developer account and I wish to create one";"Je n'ai pas de compte développeur Google et je souhaite en créer un"
"I allow you to publish my application with your developer account";"Je vous laisse publier mon application avec votre compte développeur"
"You have to create a Google developer account to publish your android application. <a href=""https://market.android.com/publish/signup"" target=""_blank"">Click here to create one.</a>";"Vous devez créer un compte Google avant de pouvoir publier votre application Android. <a href=""https://market.android.com/publish/signup"" target=""_blank"">Cliquez ici pour en créer un.</a>"
"Mobile website information";"Informations Site mobile"
"Domain name";"Nom de domaine"
"Editor";"Editeur"
"Change password";"Modifier le mot de passe"
"Current password";"Ancien mot de passe"
"Confirm new password";"Confirmer le nouveau mot de passe"
"Required fields";"Champs obligatoires"
"Facebook Integration";"Intégration Facebook"
"Facebook connect";"Connexion Facebook"
"Connect with Facebook";"Connexion avec Facebook"
"Your bundle_id";"Votre bundle_id"
"The entered bundle id is incorrect, it should be like: com.siberiancms.app";"Le bundle id saisi est incorrect, il doit être de la forme suivante : com.siberiancms.app"
"Publish on your Facebook fanpage";"Publier sur votre Fan Page Facebook"
"Application ID";"Identifiant de l'application"
"Secret key";"Clé secrète"
"Fanpage ID";"Identifiant de la page fan"
"Target audience";"Destination de la publication"
"Facebook publishing";"Publication avec Facebook"
"Post on my personal wall";"Poster sur mon mur personnel"
"Post on my fan page";"Poster sur ma page fan"
"Authorizations management";"Gestion des accès"
"Created on";"Créé le"
"Is active";"Est actif"
"No accounts created to manage this application";"Aucun compte n'est créé pour gérer cette application"
"Password management";"Gestion du mot de passe"
"Confirm password";"Confirmer le mot de passe"
"Send an email to this user";"Envoyer un email à cet utilisateur"
"Required fields";"Champs obligatoires"
"Home";"Home"
"Users count for this application";"Utilisateurs ayant installé l'application"
"Global visits for this application";"Visites totales de l'application"
"Stores publication";"Publication sur les stores"
"Not published";"Non publiée"
"Published";"Publiée"
"Publish";"Publier"
"Webapp (mobile site)";"Webapp (site mobile)"
"My mobile site: ";"Mon site mobile : "
"is online";"est en ligne"
"isn't configured";"n'est pas configuré"
"My mobile site isn't configured";"Mon site mobile n'est pas configuré"
"Promote";"Promouvoir"
"My QRCode";"Mon QRCode"
"You can download your QRCode by";"Vous pouvez télécharger votre QRCode en"
"clicking here";"cliquant ici"
"In order to download your QRCode, please end your mobile website configuration";"Afin de pouvoir télécharger votre QRCode, veuillez terminer la configuration de votre site mobile."
"POS advertising";"Publicité sur le lieu de vente (PLV)"
"In order to fully assist you, you can download two customizable posters (A3 and A5 sizes) to help you in promoting your application on storefront, tables, etc.";"Afin de vous assister au mieux dans votre réussite, nous mettons à votre disposition une affiche au format A3 et A5 vous permettant de faire la publicité de votre application directement depuis votre comptoir, vos tables, etc..."
"Click here to download the A3 size poster";"Cliquez ici pour télécharger l'affiche au format A3"
"Click here to download the A5 size poster";"Cliquez ici pour télécharger l'affiche comptoir au format A5"
"Buy one, get one!";"Un thé acheté, un thé offert"
"More infos";"Plus d'infos"
"Discount zone description. Here your clients will be able to see the details of each discount";"Zone de description de la promotion. Ici, vos clients pourront voir le détail de chaque promotion"
"Fred W.";"Jean-Pierre D."
"Here is our latest creation. What do you think?";"Voici nos dernières création. Qu'en pensez-vous ?"
"Comment";"Commentez"
"Marc A.";"Jeanne M."
"Love it <3";"J'adore ;)"
"Please log in.";"Veuillez vous connecter..."
"One free coffee";"Un grand café offert"
"You have to update your subscription to take advantage of this feature";"Vous devez mettre à jour votre abonnement afin de profiter de cette fonctionnalité"
"To submit your application, we need:<br />- ";"Afin de pouvoir publier votre application, nous avons besoin :<br />-"
"At least, 4 pages in your application";"D'au minimum 4 pages dans votre application"
"The  homepage image";"D'une image pour votre page d'accueil"
"The startup image";"D'une image de démarrage"
"The desktop icon";"D'une icône pour le bureau"
"The application name";"Du nom de l'application"
"Keywords";"Des mots-clés"
"The description";"De la description"
"The main category";"De la catégorie principale"
"Your Apple account";"De votre compte Apple"
"Your Google account";"De votre compte Google"
"An error occurred during the generation of your QRCode. Please try again later.";"Une erreur est survenue lors de la génération de votre QRCode. Merci de réessayer ultérieurement."
"An error occurred while adding the option";"Une erreur est survenue lors de l'ajout de l'option"
"An error occurred during the colorization of your icon. Please try again later.";"Une erreur est survenue lors la colorisation de votre icône. Merci de réessayer ultérieurement."
"An error occurred while deleting the option";"Une erreur est survenue lors de la suppression de l'option"
"An error occurred while saving. The selected icon is not valid.";"Une erreur est survenue lors de la sauvegarde. L'icône sélectionnée n'est pas valide."
"An error occurred while sorting your pages. Please try again later.";"Une erreur est survenue lors de l'organisation de vos pages. Merci de réessayer ultérieurement."
"An error occurred while saving your page name.";"Une erreur est survenue lors de la sauvegarde du nom de votre page."
"Please enter a valid mobile website address.";"Veuillez saisir une adresse pour votre site mobile."
"Your mobile address should not contain special characters";"Votre adresse mobile ne peut pas contenir de caractère spéciaux."
"An error occurred while saving your colors.";"Une erreur est survenue lors de la sauvegarde de votre couleur."
"An error occurred while creating your icons.";"Une erreur est survenue lors de la création de vos icônes."
"An error occurred while changing your layout.";"Une erreur est survenue lors du changement de votre mise en page."
"Please enter the mobile website's domain name";"Veuillez saisir le nom de domaine du site mobile."
"Please enter a subdomain.";"Veuillez saisir un sous-domaine."
"An error occurred while deleting the account. Please try again later.";"Une erreur est survenue lors de la suppression du compte. Merci de réessayer ultérieurement."
"Please enter the gender ;";"Veuillez saisir la civilité ;"
"Please enter the firstname ;";"Veuillez saisir le prénom ;"
"Please enter the lastname ;";"Veuillez saisir le nom de famille ;"
"Please enter the email address ;";"Veuillez saisir l'adresse email ;"
"Please enter the old password ;";"Veuillez saisir l'ancien mot de passe ;"
"The old password does not match the current password ;";"L'ancien mot de passe ne correspond pas au mot de passe actuel ;"
"Please enter the password ;";"Veuillez saisir le mot de passe ;"
"Please enter the confirmation password ;";"Veuillez saisir la confirmation du mot de passe ;"
"The confirmation password does not match the entered password ;";"La confirmation du mot de passe ne correspond pas au mot de passe saisi ;"
"We are sorry but this email address is already used.";"Nous sommes désolés mais l'adresse email saisie est déjà utilisée."
"Welcome to your app!";"Bienvenue dans votre application !"
"Promote your app!";"Communiquez sur votre application !"
"Your application in few numbers";"Quelques chiffres de votre application"
"Additional options";"Options complémentaires"
"Customize your app";"Personnalisation de votre application"
"Customize your app's style";"Personnalisation du style de votre application"
"Customize your app's colors";"Personnalisation des couleurs de votre application"
"Manage your app's features";"Gestion des pages de votre application"
"Publish your app";"Publication de votre application"
"A valid domain and properly set";"D'un domaine valide et correctement configuré"
"This option enables you to set the currency used in your app";"Cette option permet de définir la devise utilisée dans votre application"
"Choose your country";"Choisissez votre pays"
"Choose a country";"Choisissez un pays"
;
"An error occurred while deleting your picture";"Une erreur est survenue lors de la suppression de votre image"
"Add Page";"Ajoutez une page"
"Use into all of your application's pages";"Utiliser dans toutes les pages de l'application"
"You haven't chosen any template yet";"Vous n'avez pas encore choisi de thème"
"If you validate, your app's colors and background image will be replaced";"Si vous changez votre thème, toutes vos couleurs et votre fond d'écran seront remplacés"
"Choose your icons color";"Choisissez vos couleurs d'icônes"
"An error occurred while retrieving your pages";"Une erreur est survenue lors de la récupération de vos pages"
"Choose a folder";"Choisissez un dossier"
"Main";"Principal"
" ""Remove this page from this folder?""";"Etes-vous sûr de vouloir supprimer cette page de ce dossier ?"
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Cette page sera affichée aux utilisateurs mobiles pour leur permettre de gérer leur compte. Ceci est automatiquement ajouté à votre application lorsque vous utilisez des fonctionnalités nécessitant une identification des utilisateurs."
"to add a subfolder.";"pour ajouter un sous-dossier."
;
"Please enter a valid address";"Veuillez saisir une adresse correcte"
"Mobile source codes";"Codes sources mobile"
"To be able to download source codes, please provide the following information:<br />";"Veuillez renseigner les éléments suivants afin de pouvoir télécharger les codes sources :<br />"
"Click here to download the source code:";"Cliquez-ici pour télécharger votre source code :"
"iPhone Version";"Version iPhone"
"Android Version";"Version Android"
"Download";"Télécharger"
;
"counterA5";"comptoirA5"
"signA3";"afficheA3"
;
"Preview";"Prévisualisation"
"Live preview on your mobile";"Prévisualisez sur votre mobile"
"Preview and test your native apps directly on your mobile.";"Prévisualisez et testez vos applications natives directement sur votre mobile."
"1. Download the app previewer:";"1. Téléchargez l'application de prévisualisation :"
"Scan this QR Code:";"Scannez ce QR Code :"
"Scan this QR Code";"Scannez ce QR Code"
"The QR Code is not available at this moment";"Le QR Code n'est pas disponible pour le moment"
"Or go on your store<br />and look for ""Siberian CMS Previewer""";"Ou allez sur votre store<br />et cherchez ""Siberian CMS Previewer"""
"2. Open the app and login";"2. Ouvez l'application et connectez-vous"
